inkonsistensi, konsistensi
berakal, bodoh
atas, bawah
satu, inferior
pembubaran, penyatuan
dingin, panas
junam, menjulang
berangkat, datang
terhunus, terhunjam
simpan, mengambil
menaik, menurun
berkawin, bercerai
mencipratkan, mengguyurkan
keuntungan, kerugian
recok, sepi
memper, beda
mengharamkan, menghalalkan
betina, jantan
antik, modern
buncit, pertama
memacetkan, melancarkan
orang tua, anak
fertil, infertil
berpisah, bersatu
keeratan, kerenggangan
telungkup, menelentang
batin, jasmani
mendistribusikan, mengumpulkan
mencopot, memasang
plontos, gondrong
rudin, kaya, raya
putranda, ayahanda
racau, diam
sembuh, sakit
mengenangkan, melupakan
pembangkang, penurut
kedunguan, kepandaian, kepintaran
kelainan, normal
belia, renta
ungkap, menutup
mengizinkan, melarang
menancapkan, mencabut
damping, renggang
menyayukan, menggembirakan
takut, berani
disintegrasi, pernyatuan
menengkurap, menelentang
rapat, renggang
mengakhirkan, mengawalkan
licik, lurus
bersarak, berujuk
putik, buah
konotatif, denotatif
berlelah-lelah, berleha-leha
pluralitas, homogenitas, kehomogenan
kawan, musuh
terdepak, terpilih
terdepan, terbelakang
ruwet, sederhana, simpel
menangkup, membuka, menelentang
segar, loyo
panjang, pendek
absensi, kehadiran
sorong, tarik
disonansi, harmoni
pemungutan, penaburan
mengecilkan, membesarkan
grup, perseorangan
mengurutkan, mengacak
halus, kasar
papa, kaya, hartawan
jahat, baik
uniform, berbeda, berlainan
menyarak, rujuk
besar, kecil
ekstrem, moderat
mustahak, mudarat
bunda, ayahanda
menceraikan, menyatukan
epilog, prolog
memukang-mukang, menyabung-nyambung
kedatangan, keberangkatan
menepati, memungkiri
ceriwis, pendiam
lembah, bukit
langsung, berhenti
rimbun, gundul
telaten, ceroboh
melebur, memadat
kebodohan, kepandaian
jaja, menyimpan, menimbun
melandai, menanjak
pemisahan, penyatuan
tegar, cengeng
angguk, menggeleng
anggur, bekerja
mamang, tenang
termasyhur, terbelakang
menyetujui, menolak
waras, gila
tanya, jawab
pailit, maju
turun, naik
ganda, tunggal
serap, menyembur
periodik, dinamik, berubah, gerak
mampat, berongga
lincah, lemas
mayoritas, minoritas
mengharumkan, membusukkan
selesa, sempit
datang, pergi
caci, sanjung
tersingkir, terpilih
malu, berani
sigap, lamban
sedih, gembira
kepudaran, ketenaran
menebal, menipis, melemah
bertautan, berlepasan
langsing, gemuk
kebencian, kesukaan
pertemanan, permusuhan
pensiun, karya
memutuskan, menyambungkan
mujur, sial, apes
dosen, mahasiswa
mengkal, ranum
menceraiberaikan, menyatupadukan
kelengangan, keramaian
publik, privat
menuntaskan, menunda
angkuh, rendah, hati
berdempetan, berenggangan
parsial, universal
tersarung, terdedah, tertanggal
teragak, terlupa
gendut, kurus
kecendekiaan, kedunguan
pemanfaatan, kemudaratan, kerugian
internal, eksternal
kemiskinan, kekayaan
penghutanan, penggundulan
memanjangkan, memendekkan
uruk, gali
punca, pangkal
emak, bapak
menjawab, bertanya
niskala, nyata
naik, turun
totok, peranakan
mukhlis, curang
penerima, pemberi, donor
tangkap, membebaskan, melepaskan, melempar
modern, kuno
sportif, curang
pengajar, pelajar
munafik, jujur
ragam, homogen
obsolet, baru
menelanjangi, menutup
ketenangan, kebisingan, kerusuhan
menyebarkan, menyatukan
skeptis, yakin
konkret, abstrak
buka, tutup
berdesakan, berlapang
pendahuluan, penutup
formal, nonformal
pendek, panjang
mengemas, membongkar
menambahi, mengurangi
bercabang, lurus
mendarat, lepas, landas, berlayar, melaut
menerima, memberi, dan, menolak
adu domba, mendamaikan
pemberangsang, penyabar
jawaban, pertanyaan
penatar, petatar
lambung, menurun
muka, belakang
meleburkan, memadatkan
merdu, sumbang
bersenang hati, bersedih, hati
tercapai, gagal
mengamankan, mengacaukan, membebaskan
mengacak-acak, merapikan
bawahan, atasan
intim, renggang
memberkaskan, menguraikan
penangkapan, pembebasan
dobel, tunggal
tangkup, telentang
centang, bersatu, padu
kepenatan, kebugaran
terus terang, berbohong
terapung-apung, tenggelam
pengakhiran, permulaan
udik, kota
teragak-agak, pasti
ekstra, intra
inklusif, eksklusif
mara, mundur
masuk, keluar
menyawar, membiarkan
menikahkan, menceraikan
peningkatan, penurunan
laki, perempuan
mengabaikan, memperhatikan
mentah, matang
duduk, berdiri
hebat, biasa
tepi, tengah
roboh, tegak
berawal, berakhir
keuniversalan, kekhususan
rendah, tinggi
bersedia, menolak, berlengah
sintetis, asli
menyedihkan, menggembirakan
ingat, lupa
kegagalan, keberhasilan
kontroversi, selaras
menemui, meninggalkan
pusparagam, seragam
persis, beda
statis, dinamis
meta, rendah, hati, tawadu
kehomogenan, keheterogenan
bolos, hadir
singular, jamak, plural
bermitra, lawan
penyek, mancung
petandang, tuan, rumah
keterusterangan, kebohongan
mencepol, memasang
menciut, mengembang
start, akhir, akhir, finis
privat, umum, terbuka
mempercepat, memperlambat
tertawan, terbebas
megah, sederhana
elite, proletar
melenyapkan, memunculkan
cemar, bersih
sendat, longgar, lancar
membelakangkan, mengutamakan
soal, jawaban
pelengseran, pelantikan
tua, muda, baru, mentah, muda
terik, longgar, dingin
keadilan, ketakadilan
keberangkatan, kedatangan
hancur, utuh
bangkit, tidur
ujang, neng
memberatkan, meringankan
berkawan, bermusuhan
menggarang, menjinakkan
mempelajari, mengajar
dungu, pandai, pintar
menentang, menurut
morat-marit, rapi
keabadian, kefanaan
tengkurap, telentang
pengagungan, penghinaan
bersauh, berlayar
memaksimalkan, meminimalkan
mendongakkan, menundukkan
pelawan, pendukung
kebisuan, kebisingan
optimistis, pesimistis
kelebihan, kekurangan
memasung, membebaskan
terhantar, terpelihara
lesu, segar
memecah belah, menyatukan
perampang, penyabar
valid, takvalid, ilegal
putri, putra
desa, kota
celaka, selamat
janda, duda
hadir, absen
irit, boros
abadi, sementara
bata-bata, lancar
berdaki, bersih
mencerahkan, menggelapkan, memuramkan
pacak, amatir
kebagusan, kejelekan
mandek, berjalan
lidah, gagap
pangkal, ujung
mendekat, menjauh
terikat, terbebas
menegang, mengendur
berlebih, kurang, longgar
terhukum, terbebas
lebih, kurang
mencla-mencle, tetap, hati, konsisten
membubarkan, menyatukan
mati, hidup, bernyawa
pelanggan, penjual
tawan, membebaskan, melepaskan
amuk, tenang
ketebalan, kelemahan
mendorong, menarik, melemahkan
aku, engkau, kamu
kawin, cerai
mengantarai, merapatkan
laju, lambat
bersatu, perseorangan
keanehan, kebiasaan
berseberangan, bersepakat
prajurit, perwira
kredibilitas, keraguan
repot, senggang, leluasa
terpatah-patah, lancar
adik, abang, kakak
adil, berat, sebelah, timpang
rebah, berdiri, tegak
harmoni, disharmoni
tegas, kabur
tegap, loyo
neto, bruto
keyakinan, keraguan, kesangsian
menajamkan, menumpulkan
mayor, minor
ilegal, legal
bang, adik
soak, kuat
impresif, sederhana
lazim, aneh, ganjil
meranda, menduda
pinggir, tengah
penawanan, pembebasan
palak, sabar
menghutankan, menggunduli
kepergian, kedatangan
degil, penurut
memendekkan, memanjangkan
kepintaran, kebodohan
menghidupkan, memadamkan
bertemu, berpisah
menyasarkan, mengundurkan
lembang, kering
uda, uni
teledor, telaten
selesai, mulai
kencang, lambat
buas, jinak
kedinginan, kepanasan
awal, akhir
mengasingkan, menyatukan
seri, paralel
trengginas, lamban
bertempur, berdamai
berlepas, datang
sepuh, anom
stagnan, dinamis
keliru, benar
basah, kering
papakerma, baik, hati
efisiensi, inefisiensi
makcik, pakcik
kualitas, kuantitas
tolol, cerdik
pandir, pandai
yakin, ragu-ragu
bening, keruh
melawan, mendukung
opa, oma
penggugat, tergugat
pengasingan, penyatuan
maya, nyata
secepat-cepatnya, selambat-lambatnya
rahmat, laknat
mengaktifkan, memasifkan
aram, terang
sinonim, antonim
bersemuka, berpunggungan
sederhana, rumit
penyatuan, pemisahan
memanaskan, mendinginkan
kedamaian, kekacauan
hangat, sejuk
memasukkan, mengeluarkan
rela, pamrih
pemakai, produsen
subjektif, objektif
menerikkan, melonggarkan
pendidik, murid
curang, jujur
aneh, biasa, normal
cacat, baik, normal
lusuh, rapi
zalim, baik
menyenangi, membenci
songong, sopan
perceraian, persatuan
membekukan, mencairkan
bersih, kotor
tante, om
menamatkan, memulai
utama, penunjang
sumpek, lapang
runtuh, kokoh, kukuh
remuk, utuh
sulit, mudah
tumpas, tumbuh
memekatkan, mengencerkan
meniduri, membangunkan
mudah, susah, sukar, sulit
keluar, masuk
nini, aki
kedermawanan, kekikiran
nikah, bercerai
kependekan, kepanjangan
menyepelekan, membesar-besarkan
tumbang, berdiri, tegak
mencacat, memuji
vertikal, horizontal
tuntas, ada
pudar, cerah
muskil, mungkin
finis, start
intervensi, lepas, tangan
ibu, bapak
kasar, halus
culas, jujur
serang, tahan
berduka, bergembira
akrab, jauh, renggang
kesombongan, kerendah-hatian
lengang, ramai, penuh
abdi, kamu, juragan
kejayaan, kejatuhan, keruntuhan
mengutamakan, membelakangkan, menomorduakan
meyakinkan, meragukan, menyangsikan
drop, naik
sedikit-dikitnya, sebanyak-banyaknya
maslahat, mudarat
terbaik, terburuk
memundurkan, memajukan
paman, pakde, uak
susah, mudah
singularitas, pluralitas
bertekak, menolak
firdaus, neraka
ramai, senyap, sepi, sunyi
cerdas, bodoh
menata, memberantakkan
kemantapan, instabilitas, ketakstabilan
fotokopi, asli
pro, kontra
melekat, melepas
tempel, lepas, mencopot
mengayakan, memiskinkan
kedaifan, kemulian
abang, adik
steril, berkuman, subur
internasional, nasional
sejuk, hangat
bergembira, bersedih
mutlak, relatif, moderat
pendamai, provakator
pertengkaran, perdamaian
lahiriah, batiniah
damai, kacau, balau, rusuh
gadis, (je)jaka
memadamkan, menyalakan, menyulut
teruna, dara
sehat, sakit
busuk, segar
melar, ciut
khusus, umum
erat, renggang
pemimpin, bawahan
medit, derma, murah, hati
meningkatkan, menurunkan
membelokkan, meluruskan
berdekatan, berjauhan
menggunduli, menanami
ogah, mau
sesak, lapang
pugak, berpangku, tangan
mengurangi, menambah
identik, berbeda
pera, pulen
terang, gelap, kelam
menenteramkan, memperunyam
haram, halal
pembelokan, pelurusan
mengempis, mengembung
mulia, hina
beradab, biadab
penerimaan, pengeluaran, penolakan
usang, baru
musuh, teman, kawan
cerewet, pendiam
depresiasi, apresiasi
subskrip, superskrip
kesangsian, keyakinan
berakhir, terawal
amanah, khianat
menggembirakan, menyedihkan
mendepak, memilih, merangkul
menonaktifkan, mengaktifkan
gancang, lamban
tutup, membuka
lawas, baru, modern, muda
teratur, semrawut
rewel, penurut
abstrak, konkret
membuncit, mengempis
repas, kuat, padat
tercurahkan, terpendam
mendukacitakan, menyukacitakan
berlabuh, berlayar
dwibahasa, ekabahasa
pendingin, pemanas
kelabilan, kestabilan
najis, suci
eksterior, interior
primer, sekunder
membetulkan, menyalahkan
perang, damai
cuek, acuh
berbalah, berdamai
samar, jelas
buruk, baik
visibel, tersembunyi
congkak, rendah, hati
khas, umum
mengeluarkan, memasukkan
mampal, runcing
mengakui, memungkiri
merdesa, merana
telentang, menelangkup, menelingkup
laki-laki, perempuan
mencacati, kesempurnaan
mengembung, mengempis
pengairan, pengeringan
sipil, tentara
malang, mujur
bengkok, lurus
marak, sepi, padam
stabil, labil
menghalalkan, mengharamkan
berkurang, bertambah
lancar, terhambat
peleburan, pemadatan, pemisahan
sugih, melarat
memperbalahkan, memperdamaikan
menebalkan, menyamarkan, menjarangkan, menipiskan, melemahkan
membeli, menjual
positif, negatif
laba, rugi
bersepakat, bertentangan
diri, terbaring
peloh, potensi
pengemis, penderma
mengabadikan, memusnahkan
berganda, berkurang
berhasil, gagal
dermawan, kikir
menyewa, membeli
membukankan, mengiakan
tebal, halus, jarang, lemah
merampingkan, menggemukkan
surplus, minus
batiniah, jasmaniah
langgeng, fana
lebat, jarang
kemalangan, kemujuran
mempreteli, memasang, melengkapi
utuh, rumpang
pucat, segar
bertengkar, berdamai
perbanyakan, pengurangan
memunculkan, menenggelamkan
bermacam-macam, sejenis
kepanikan, ketenangan
silam, kini
nasional, internasional
defisit, surplus
temperamental, tenang, kalem
menggabungkan, memisahkan
menguruk, menggali
badaniah, rohaniah
cacatan, pujian
sekutu, musuh
stagnasi, kedinamisan
putra, putri
mangkak, kecil, hati
butek, jernih
hunjam, menghunus
berseteru, bersahabat
bukan, ya
pembelengguan, pembebasan
mengazabkan, menikmatkan
kedukacitaan, kesukacitaan
memperbagus, memperburuk
angsur, tunai
minimal, maksimal
ratu, raja
padam, menyala
padat, lembek, lunak
paternalistis, maternalistis
pembalutan, penanggalan
mengagungkan, mengecilkan, menghinakan
ikhwan, musuh
bertaburan, teratur
selak, menutup
mengotori, membersihkan
spiritual, jasmaniah
kekecilan, kebesaran
pandai, bodoh
patih, penentang
setor, meminjam
singset, gembrot
simpati, antipati
berumur, belia
labilitas, stabilitas
istimewa, biasa
serbuan, penahan
hembus, isap
purbasangka, baiksangka
pengimpor, pengekspor
superskrip, subskrip
tersentralisasi, terpisah
pingit, membebaskan
bangat, lamban
ekor, kepala
salah, betul, benar
mengabsahkan, mengilegalkan
bertanya, menjawab
daki, menurun
gundah, riang
partikelir, negeri
absah, ilegal
muktabar, hina
objektif, subjektif
acak-acakan, kadangkala
melalaikan, mengacuhkan
menguntungkan, merugikan
kewanitaan, maskulin
terhambat, lancar
mengasah, menumpulkan
mengemudiankan, menyegerakan
hamba, kamu
mulur, mengerut
mulus, bopeng
suci, kotor
multipel, simpel
dukacita, sukacita
pesuruh, majikan
pribadi, umum
kesukaran, kemudahan
terbelakang, terdepan
merapikan, memberantakkan
menyulitkan, memudahkan
halal, haram
mengawalkan, mengakhirkan
fertilitas, infertilitas
awalan, akhiran
dahulu, sekarang
penunaian, pencicilan
menyasap, menanam, menambah
menyusahkan, meringankan
percuma, bayar
profesional, amatir
mikrokosmos, makrokosmos
mengairi, mengeringkan
kepandiran, kepandaian
teguh, goyah
bercampuran, bercerai-berai
meminggir, menengah
puncak, antiklimaks, terbawah
setoran, pinjaman
harmonis, disharmonis
mengangguk-angguk, menggeleng-geleng
kalah, menang
menertibkan, memberantakkan
kemaslahatan, kemudaratan
berlama-lama, cepat-cepat
macet, lancar
bawah, atas
beleter, pendiam
abnormalitas, kenormalan, normalitas
cerdik, dungu
perawan, jejaka, perjaka
mutung, semangat
tenat, bugar
arkais, modern
daif, mulia
ejek, memuji
pakcik, makcik
penyerbuan, penahanan
tiarap, telentang
dekat, jauh
sebentar, lama
dekam, bebas
pungkasan, wiwitan
muda, tua
mumpuni, bodoh
lajang, menikah
prestasi, wanprestasi
bersayangan, berbenci-(benci)an
setelah, sebelum
paklik, pakde
lalai, acuh
kehebohan, ketenangan
kejahatan, kebaikan
ekspres, lambat
memutus, menyambung
definitif, taktentu
menelantarkan, memelihara
futur, lampau
menusuk, mencabut
menyorong, menarik
usai, berlangsung
pemarah, penyabar
gasal, genap
menyerah, melawan
pertempuran, perdamaian
pindah, tetap, diam
asin, tawar
boros, irit
pantang, halal
mencaci, menyanjung
berair, kering
mengungkapkan, menutupi
mortalitas, natalitas
moral, amoral
membersihkan, mengotori
tele, singkat
keluwesan, kekakuan
pecat, melantik, mengaktifkan
runcing, tumpul
penggalangan, pembubaran
asusila, bermoral
pernikahan, perceraian
kemajemukan, kehomogenan, homogenitas
menyingkat, memanjangkan
masukan, keluaran
kabur, jelas
takabur, rendah, hati
merampungkan, menyisakan
personal, kelompok
membujuk, menjauhi
keceriaan, kemuraman
terdahulu, terakhir
sedikit-sedikitnya, sebanyak-banyaknya
bercakap-cakap, berdiam, diri
keakraban, kerenggangan
open, ceroboh
penambahan, pengurangan
debit, kredit
hemat, boros
bersukacita, berdukacita
panik, tenang, diam
absen, hadir
tertangkup, bertelentang
gusar, senang
tensi, relaksasi
rusuh, aman
membengkokkan, meluruskan
saru, sopan
mini, maksi
sendiri, beramai-ramai, bergantung
terbenam, terbit
komedi, tragedi
permusuhan, persahabatan
lancip, tumpul
ayah, ibu
kecongkakan, kerendahhatian
mencerca, memuji
bohong, jujur
menghunus, menghunjam
merugikan, untung
agung, kecil
cerca, puji
cendekia, dungu
oma, opa
menjatuhkan, melambungkan
sedeng, waras
azab, nikmat
peduli, tak, acuh
mengsol, lurus
informal, formal
melepas, mengikat
bangsawan, proletar
orisinal, imitasi, tiruan
tunai, cicil
tradisi, modern
sedikit, banyak
mengetatkan, melonggarkan
tercurah, terpendam
pencampuran, pemisahan
mengentalkan, mencairkan
mengendalakan, membebaskan
kecermatan, kelalaian
kedustaan, kebenaran
rapuh, kokoh, kuat, teguh
normal, abnormal, taknormal
murid, guru, mursyid
supel, kaku
luar, dalam
luas, sempit
muwalat, berantara, berselang
stop, berjalan
nyalang, terkatup, terpejam
cantik, jelek
cedera, pulih
melepaskan, mengungkung
bertentangan, bersepakat, berdamai, bersesuaian
priayi, rakyat
vakum, isi, penuh
lenyap, muncul
beri, terima
siswa, guru
pengabdian, pembangkangan
antero, sebagian
termulia, terhinakan
brilian, bodoh
sayup-sayup, terang
mengakrabkan, merenggangkan
gembira, sedih
majal, tajam
depan, belakang
meniarapkan, menelentangkan
pendepakan, pemilihan, perangkulan
tanwujud, wujud
keburukan, kebaikan
penuh, longgar, kosong
mondial, spasial
bos, anak, buah
perdamaian, permusuhan
mencagarkan, menebus
cerah, gelap, muram
hilir mudik, diam
duda, janda
tampan, jelek
pelajar, pengajar
malas, rajin, cekatan
malam, siang
mendirikan, membubarkan, meruntuhkan
menerangi, menggelapi, menyesatkan
menggadaikan, menebus
gede, kecil
membahagiakan, menyengsarakan
bumiputra, pendatang
mas, embak
mau, enggan, sungkan
teoretis, nyata
meminggirkan, menengahkan
menampung, membuang
membebaskan, mengurung
penyejuk, penghangat
lamat-lamat, jelas
makmum, imam
keangkuhan, kerendahan, hati
abnormal, normal
membasahi, mengeringkan
ketololan, kecerdikan
maksimal, minimal
monolog, dialog
dusun, kota
bugar, lesu
muncul, tenggelam
menumpas, menumbuhkan
membesarkan, mengecilkan
pulang, pergi
wanita, pria
membuka, menutup
deflasi, inflasi
berjalan, berhenti
pencinta, pembenci
transparansi, ketertutupan
bergerak, mati, padam
mencurigai, memercayai
beraturan, berantakan
interior, eksterior
keheningan, kebisingan, keriuhan
loyo, segar
berpasangan, tunggal
gundul, lebat
sosial, individual, pelit
bangir, pesek
kebebasan, kungkungan
membalutkan, menanggalkan
cakap, ceroboh
menipis, menebal
pengabulan, penolakan
bubar, bersatu
ceroboh, telaten
mendungukan, memandaikan
perseteruan, persahabatan
permuliaan, penghinaan
manja, dewasa, mandiri
tirus, pepat
inkompetensi, kompetensi
antusias, apatis
mewah, sederhana
mukados, kotor
bersebar, bersatu
sayang, benci
kerendahan, tegak, seimbang
penyerangan, penahanan
balik, pergi
tunduk, tegak, melawan, membangkang
safa, cela
terselak, tertutup
spesifik, biasa, umum
akhirnya, awalnya, mulanya
mencair, membeku
tertata, berantakan
jaka, dara
singkat, panjang
lamban, cekatan
kemunduran, kemajuan
lunak, padat
alem, mencela
sudah, belum, mulai
pelantikan, pencopotan
rekan, musuh
beku, cair
mantap, bimbang
memperkencang, memperlambat
kecekatan, kelambanan
provisional, kekal
singkir, menengah, mendekati
sempurna, cacat
pucuk, ujung
lambat, cepat
pesimisme, optimisme
kenakalan, kealiman, kepatuhan
sempit, longgar
empuk, keras
surga, neraka
adopsi, menelantarkan
produktif, kontraproduktif
penggabungan, pemisahan
gulita, benderang
merana, sehat
terlepas, menempel
menitip(kan), mengambil
progresif, konservatif
menempelkan, mencopot
liar, jinak
gembrot, kerempeng
egois, pluralis
sistematis, acak-acakan
sibuk, santai, sepi
kanan, kiri
mantiki, irasional
binasa, lestari
efisien, inefisien
pembukaan, penutupan
rajin, malas
miskin, kaya
pendistribusian, pengumpulan
dekil, bersih
bertaut, terbuka
bongsor, boncel
kesenangan, kesedihan
menyelesaikan, memulai
menang, kalah
usil, alim
encer, pekat, sulit, bodoh
mula, akhir, terakhir
pengasahan, penumpulan
mengambil, menyimpan, menggulingkan, menjatuhkan, menjungkalkan, mengudeta, mengkup, menunggingkan, merebahkan
curam, landai
telantar, terpelihara
memadai, kurang
mendahulukan, mengesampingkan
taut, melepaskan
berkecukupan, miskin
teduh, hujan, panas, rusuh
mengapungkan, menenggelamkan
menyebalkan, menyenangkan
minimum, maksimum
lurus, bengkok
bercahaya, suram
keseragaman, kebinekaan, keberagaman
cabang, batang, pusat
tersurat, tersirat
bangkang, menurut
patuh, berontak
pencaci, penyanjung
simpatik, menyebalkan
pungut, tabur
maskulin, feminim
persamaan, perbedaan
pembakaran, pemadaman
memberi, menerima
buang, pungut
permai, jelek, hancur
riuh, sepi, sunyi
kikir, dermawan
jalang, jinak
memisahkan, menyatukan
menaikkan, menurunkan
tersorong, tertarik
tumbuh, mati, (tanaman)
tersendat-sendat, lancar
keelokan, keburukan
destruktif, konstruktif
mempertentangkan, mempersatukan
kesayuan, kegembiraan
mempercantik, memperjelek
kezaliman, kebaikan
pengotoran, pembersihan
dependen, independen, bebas
mengap, terkatup
kedalaman, kedangkalan
bertelanjang, bertutup
reaksi, aksi
menaiki, menuruni
parah, biasa
menanggalkan, memakaikan
solid, pecah
khusyuk, main-main
pengurangan, penambahan
berjumpa, berpisah
dunia, akhirat
pernah, belum
munjung, datar
bersantai, bekerja, keras
mematikan, menghidupkan, menyalakan
pesai, tertata
talak, rujuk
haluan, buritan
panas, dingin
menyayangi, membenci
semu, nyata
pemenang, pecundang
kesederhanaan, kecanggihan, kerumitan
lara, gembira
impor, ekspor, mengekspor
persekutuan, permusuhan
bakar, memadamkan
telangkup, telentang
meluaskan, menyempitkan
variabilitas, homogenitas
jaga, tidur
pelan, cepat
kekurangan, kelebihan
pengingkaran, pengakuan
hiruk, sunyi
sembunyi-sembunyi, terang-terangan
betul, salah
kiri, kanan
terlupa, teringat
kedukaan, kegembiraan
bagus, jelek, buruk
metaforis, denotatif
perempuan, laki-laki
mengambang, melepaskan
tangguh, loyo, lemah
murah, mahal
muram, ceria, cerah, berseri
tertinggi, terendah
impuls, penolakan
menceng, lurus
terberkas, terurai
sentosa, melarat
berpengetahuan, jahil
bertenaga, loyo
alit, besar
mencairkan, membekukan
lama, baru
mencuram, melandai
benar, salah
sengsara, senang
guru, murid
eksak, non-eksak
butut, bagus
kemandulan, fertilitas
bercampur, berpisah
deselerasi, akselerasi
saban-saban, jarang-jarang
negatif, positif
terus, tunda, berhenti
teruk, ringan
ilmiah, khayal
pesimis, optimis
angin-anginan, penyabar
deras, lambat
bersekutu, bermusuhan
sangsai, bahagia
cacian, sanjungan
vulgar, sopan
harum, busuk
kreditor, debitur
mundur, maju
pribumi, keturunan, ras
sarit, senang, kaya
ramping, gemuk, gendut, gemuk
imitasi, asli
kecetekan, kedalaman
subur, tandus, mandul
homogen, heterogen
ceria, muram, bernoda, sedih
akhir, awal
inferior, superior
membuntuti, mendahului
cepat, lambat
teratas, terbawah
ujung, pangkal
bergeser, berdiam
biasa, istimewa
terpasung, terbebas
masyhur, biasa, kebanyakan
meninggikan, merendahkan
sentralisasi, desentralisasi
daratan, lautan
otentik, palsu, imitasi
berhampiran, berjauhan
pejam, melek
sungguh-sungguh, main-main
matang, mentah, muda
mengeratkan, merenggangkan
perkasa, takut
meniadakan, mengadakan
prefiks, sufiks
temu, pisah
prigel, ceroboh
antonim, sinonim
abai, hirau
feminin, maskulin
lambat-lambat, cepat-cepat
separuh, seluruh, semua, utuh
benci, suka
inkonvensional, konvensional
cekal, melepaskan
paternal, maternal
terbelenggu, terlepas
pertikaian, perdamaian
ribut, damai
kental, cair
implisit, eksplisit
kemunafikan, kejujuran
menghampiri, menjauhi
menceriakan, memuramkan, menodai
elastis, kaku
serius, main-main
petinggi, pegawai, rendah
tercampur, terpisah
mendung, cerah
mengakhiri, memulai, mengawali
tegang, kendur
pancamuka, monodimensi, monofaset
liat, rapuh
mengurangkan, menambahkan
putus, sambung, berlanjut
kerajinan, kemalasan
kerugian, keuntungan
plural, homogen
menyeragamkan, membedakan
ajaib, normal
membuang, memungut
pelayan, juragan, majikan
mumuk, padat
pengacara, klien
mengecil, membesar
mencurahkan, memendam
mencintai, membenci
inefisien, efisien
bersetuju, menolak
mengutang, membayar
mempersingkat, memperpanjang
mendampingkan, merenggangkan
pembebasan, pengungkungan
pelit, dermawan
pasif, aktif
bercerai, bersatu
pancarona, ekawarna
menambahkan, mengurangkan
bodoh, pandai
depresi, kebahagiaan
meniarap, menelentang
pelik, mudah
pergi, datang
keberhasilan, kegagalan
dangkal, dalam
top, terbawah
pembangun, pemusnah
keutuhan, kerumpangan
otomatis, manual
menengahi, mengadukan
mufrad, jamak
pramuwisma, majikan, tuan
mengawali, mengakhiri
lestari, fana
pengatur, perusak
kanak-kanak, dewasa
pemasungan, pembebasan
bising, senyap
pertentangan, perdamaian
kesenyapan, kebisingan
objektivitas, subjektivitas
bejat, alim
larang, mengizinkan
memedulikan, membiarkan
baik, buruk
absolut, demokratis, nisbi, relatif
suami, istri
menambah, mengurangkan
lantik, mencopot
tulen, palsu
sangar, subur
meragukan, meyakinkan
habis, bersisa
payah, ringan, mudah, tabah
berekan, bermusuhan
lupa, ingat
berdukacita, bersukacita
kesedihan, kegembiraan
bercerai-berai, bersatu-padu
kemurungan, keceriaan
rangkap, tunggal
cewek, cowok
mengundurkan, memajukan
pengecer, grosir
cekat, lamban
mendegil, menurut
memperbanyak, mengurangkan
porno, susila
terdongak, tertunduk
mambung, berisi, berdaging
senang, sedih
mengapung, tenggelam
